Código Distrito,Descritivo Distrito,Código Concelho,Descritivo Concelho,Código Freguesia,Descritivo abreviado da Freguesia,Descritivo completo da Freguesia,CodSF,Descritivo do SF
01,AVEIRO                        ,01,AGUEDA                        ,03,AGUADA DE CIMA                                    ,AGUADA DE CIMA                                    ,0019,AGUEDA                        
01,AVEIRO                        ,01,AGUEDA                        ,09,FERMENTELOS                                       ,FERMENTELOS                                       ,0019,AGUEDA                        
01,AVEIRO                        ,01,AGUEDA                        ,12,MACINHATA DO VOUGA                                ,MACINHATA DO VOUGA                                ,0019,AGUEDA                        
01,AVEIRO                        ,01,AGUEDA                        ,19,VALONGO DO VOUGA                                  ,VALONGO DO VOUGA                                  ,0019,AGUEDA                        
01,AVEIRO                        ,01,AGUEDA                        ,21,ÁGUEDA E BORRALHA                                 ,UNIÃO DAS FREGUESIAS DE ÁGUEDA E BORRALHA,0019,AGUEDA                        
01,AVEIRO                        ,01,AGUEDA                        ,22,BARRÔ E AGUADA DE BAIXO                           ,UNIÃO DAS FREGUESIAS DE BARRÔ E AGUADA DE BAIXO,0019,AGUEDA                        
01,AVEIRO                        ,01,AGUEDA                        ,23,"BELAZAIMA DO CHÃO, CASTANHEIRA DO VOUGA E AGADÃO  ","UNIÃO DAS FREGUESIAS DE BELAZAIMA DO CHÃO, CASTANHEIRA DO VOUGA E AGADÃO",0019,AGUEDA                        
01,AVEIRO                        ,01,AGUEDA                        ,24,RECARDÃES E ESPINHEL                              ,UNIÃO DAS FREGUESIAS DE RECARDÃES E ESPINHEL,0019,AGUEDA                        
01,AVEIRO                        ,01,AGUEDA                        ,25,TRAVASSÔ E ÓIS DA RIBEIRA                         ,UNIÃO DAS FREGUESIAS DE TRAVASSÔ E ÓIS DA RIBEIRA,0019,AGUEDA                        
01,AVEIRO                        ,01,AGUEDA                        ,26,"TROFA, SEGADÃES E LAMAS DO VOUGA                  ","UNIÃO DAS FREGUESIAS DE TROFA, SEGADÃES E LAMAS DO VOUGA",0019,AGUEDA                        
01,AVEIRO                        ,01,AGUEDA                        ,27,PRÉSTIMO E MACIEIRA DE ALCOBA                     ,UNIÃO DAS FREGUESIAS DO PRÉSTIMO E MACIEIRA DE ALCOBA,0019,AGUEDA                        
01,AVEIRO                        ,02,ALBERGARIA-A-VELHA            ,02,ALQUERUBIM                                        ,ALQUERUBIM                                        ,0027,ALBERGARIA-A-VELHA            
01,AVEIRO                        ,02,ALBERGARIA-A-VELHA            ,03,ANGEJA                                            ,ANGEJA                                            ,0027,ALBERGARIA-A-VELHA            
01,AVEIRO                        ,02,ALBERGARIA-A-VELHA            ,04,BRANCA                                            ,BRANCA                                            ,0027,ALBERGARIA-A-VELHA            
01,AVEIRO                        ,02,ALBERGARIA-A-VELHA            ,06,RIBEIRA DE FRAGUAS                                ,RIBEIRA DE FRAGUAS                                ,0027,ALBERGARIA-A-VELHA            
01,AVEIRO                        ,02,ALBERGARIA-A-VELHA            ,09,ALBERGARIA-A-VELHA E VALMAIOR                     ,ALBERGARIA-A-VELHA E VALMAIOR,0027,ALBERGARIA-A-VELHA            
01,AVEIRO                        ,02,ALBERGARIA-A-VELHA            ,10,SÃO JOÃO DE LOURE E FROSSOS                       ,SÃO JOÃO DE LOURE E FROSSOS,0027,ALBERGARIA-A-VELHA            
01,AVEIRO                        ,03,ANADIA                        ,04,AVELÃS DE CAMINHO                                 ,AVELÃS DE CAMINHO                                 ,0035,ANADIA                        
01,AVEIRO                        ,03,ANADIA                        ,05,AVELÃS DE CIMA                                    ,AVELÃS DE CIMA                                    ,0035,ANADIA                        
01,AVEIRO                        ,03,ANADIA                        ,07,MOITA                                             ,MOITA                                             ,0035,ANADIA                        
01,AVEIRO                        ,03,ANADIA                        ,09,SANGALHOS                                         ,SANGALHOS                                         ,0035,ANADIA                        
01,AVEIRO                        ,03,ANADIA                        ,10,S. LOURENÇO DO BAIRRO                             ,S. LOURENÇO DO BAIRRO                             ,0035,ANADIA                        
01,AVEIRO                        ,03,ANADIA                        ,12,VILA NOVA DE MONSARROS                            ,VILA NOVA DE MONSARROS                            ,0035,ANADIA                        
01,AVEIRO                        ,03,ANADIA                        ,13,VILARINHO DO BAIRRO                               ,VILARINHO DO BAIRRO                               ,0035,ANADIA                        
01,AVEIRO                        ,03,ANADIA                        ,16,"AMOREIRA DA GÂNDARA, PAREDES DO BAIRRO E ANCAS    ","UNIÃO DAS FREGUESIAS DE AMOREIRA DA GÂNDARA, PAREDES DO BAIRRO E ANCAS",0035,ANADIA                        
01,AVEIRO                        ,03,ANADIA                        ,17,ARCOS E MOGOFORES                                 ,UNIÃO DAS FREGUESIAS DE ARCOS E MOGOFORES,0035,ANADIA                        
01,AVEIRO                        ,03,ANADIA                        ,18,"TAMENGOS, AGUIM E ÓIS DO BAIRRO                   ","UNIÃO DAS FREGUESIAS DE TAMENGOS, AGUIM E ÓIS DO BAIRRO",0035,ANADIA                        
01,AVEIRO                        ,04,AROUCA                        ,02,ALVARENGA                                         ,ALVARENGA                                         ,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,07,CHAVE                                             ,CHAVE                                             ,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,09,ESCARIZ                                           ,ESCARIZ                                           ,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,11,FERMEDO                                           ,FERMEDO                                           ,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,13,MANSORES                                          ,MANSORES                                          ,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,14,MOLDES                                            ,MOLDES                                            ,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,15,ROSSAS                                            ,ROSSAS                                            ,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,16,SANTA EULALIA                                     ,SANTA EULALIA                                     ,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,17,S. MIGUEL DO MATO                                 ,S. MIGUEL DO MATO                                 ,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,18,TROPEÇO                                           ,TROPEÇO                                           ,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,19,URRO                                              ,URRO                                              ,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,20,VARZEA                                            ,VARZEA                                            ,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,21,AROUCA E BURGO                                    ,UNIÃO DAS FREGUESIAS DE AROUCA E BURGO,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,22,CABREIROS E ALBERGARIA DA SERRA                   ,UNIÃO DAS FREGUESIAS DE CABREIROS E ALBERGARIA DA SERRA,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,23,CANELAS E ESPIUNCA                                ,UNIÃO DAS FREGUESIAS DE CANELAS E ESPIUNCA,0043,AROUCA                        
01,AVEIRO                        ,04,AROUCA                        ,24,COVELO DE PAIVÓ E JANARDE                         ,UNIÃO DAS FREGUESIAS DE COVELO DE PAIVÓ E JANARDE,0043,AROUCA                        
01,AVEIRO                        ,05,AVEIRO                        ,01,ARADAS                                            ,ARADAS                                            ,0051,AVEIRO-1.                     
01,AVEIRO                        ,05,AVEIRO                        ,02,CACIA                                             ,CACIA                                             ,3417,AVEIRO-2.                     
01,AVEIRO                        ,05,AVEIRO                        ,05,ESGUEIRA                                          ,ESGUEIRA                                          ,3417,AVEIRO-2.                     
01,AVEIRO                        ,05,AVEIRO                        ,08,OLIVEIRINHA                                       ,OLIVEIRINHA                                       ,3417,AVEIRO-2.                     
01,AVEIRO                        ,05,AVEIRO                        ,10,S. BERNARDO                                       ,S. BERNARDO                                       ,0051,AVEIRO-1.                     
01,AVEIRO                        ,05,AVEIRO                        ,11,S. JACINTO                                        ,S. JACINTO                                        ,0051,AVEIRO-1.                     
01,AVEIRO                        ,05,AVEIRO                        ,13,SANTA JOANA                                       ,SANTA JOANA                                       ,0051,AVEIRO-1.                     
01,AVEIRO                        ,05,AVEIRO                        ,15,EIXO E EIROL                                      ,EIXO E EIROL,3417,AVEIRO-2.                     
01,AVEIRO                        ,05,AVEIRO                        ,16,"REQUEIXO, NOSSA SENHORA DE FÁTIMA E NARIZ         ","REQUEIXO, NOSSA SENHORA DE FÁTIMA E NARIZ",3417,AVEIRO-2.                     
01,AVEIRO                        ,05,AVEIRO                        ,17,GLÓRIA E VERA CRUZ                                ,UNIÃO DAS FREGUESIAS DE GLÓRIA E VERA CRUZ,0051,AVEIRO-1.                     
01,AVEIRO                        ,06,CASTELO DE PAIVA              ,02,FORNOS                                            ,FORNOS                                            ,0060,CASTELO DE PAIVA              
01,AVEIRO                        ,06,CASTELO DE PAIVA              ,06,REAL                                              ,REAL                                              ,0060,CASTELO DE PAIVA              
01,AVEIRO                        ,06,CASTELO DE PAIVA              ,07,SANTA MARIA DE SARDOURA                           ,SANTA MARIA DE SARDOURA                           ,0060,CASTELO DE PAIVA              
01,AVEIRO                        ,06,CASTELO DE PAIVA              ,08,S. MARTINHO DE SARDOURA                           ,S. MARTINHO DE SARDOURA                           ,0060,CASTELO DE PAIVA              
01,AVEIRO                        ,06,CASTELO DE PAIVA              ,10,"RAIVA, PEDORIDO E PARAÍSO                         ","UNIÃO DAS FREGUESIAS DE RAIVA, PEDORIDO E PARAÍSO",0060,CASTELO DE PAIVA              
01,AVEIRO                        ,06,CASTELO DE PAIVA              ,11,SOBRADO E BAIRROS                                 ,UNIÃO DAS FREGUESIAS DE SOBRADO E BAIRROS,0060,CASTELO DE PAIVA              
01,AVEIRO                        ,07,ESPINHO                       ,02,ESPINHO                                           ,ESPINHO                                           ,0078,ESPINHO                       
01,AVEIRO                        ,07,ESPINHO                       ,04,PARAMOS                                           ,PARAMOS                                           ,0078,ESPINHO                       
01,AVEIRO                        ,07,ESPINHO                       ,05,SILVALDE                                          ,SILVALDE                                          ,0078,ESPINHO                       
01,AVEIRO                        ,07,ESPINHO                       ,06,ANTA E GUETIM                                     ,UNIÃO DAS FREGUESIAS DE ANTA E GUETIM,0078,ESPINHO                       
01,AVEIRO                        ,08,ESTARREJA                     ,01,AVANCA                                            ,AVANCA                                            ,0086,ESTARREJA                     
01,AVEIRO                        ,08,ESTARREJA                     ,05,PARDILHO                                          ,PARDILHO                                          ,0086,ESTARREJA                     
01,AVEIRO                        ,08,ESTARREJA                     ,06,SALREU                                            ,SALREU                                            ,0086,ESTARREJA                     
01,AVEIRO                        ,08,ESTARREJA                     ,08,BEDUÍDO E VEIROS                                  ,UNIÃO DAS FREGUESIAS DE BEDUÍDO E VEIROS,0086,ESTARREJA                     
01,AVEIRO                        ,08,ESTARREJA                     ,09,CANELAS E FERMELÃ                                 ,UNIÃO DAS FREGUESIAS DE CANELAS E FERMELÃ,0086,ESTARREJA                     
01,AVEIRO                        ,09,SANTA MARIA DA FEIRA          ,01,ARGONCILHE                                        ,ARGONCILHE                                        ,3441,FEIRA-2                       
01,AVEIRO                        ,09,SANTA MARIA DA FEIRA          ,02,ARRIFANA                                          ,ARRIFANA                                          ,0094,FEIRA-1                       
01,AVEIRO                        ,09,SANTA MARIA DA FEIRA          ,04,ESCAPÃES                                          ,ESCAPÃES                                          ,0094,FEIRA-1                       
01,AVEIRO                        ,09,SANTA MARIA DA FEIRA          ,07,FIÃES                                             ,FIÃES                                             ,3441,FEIRA-2                       
01,AVEIRO                        ,09,SANTA MARIA DA FEIRA          ,08,FORNOS                                            ,FORNOS                                            ,0094,FEIRA-1                       
01,AVEIRO                        ,09,SANTA MARIA DA FEIRA          ,13,LOUROSA                                           ,LOUROSA                                           ,3441,FEIRA-2                       
01,AVEIRO                        ,09,SANTA MARIA DA FEIRA          ,14,MILHEIROS DE POIARES                              ,MILHEIROS DE POIARES                              ,0094,FEIRA-1                       
01,AVEIRO                        ,09,SANTA MARIA DA FEIRA          ,16,MOZELOS                                           ,MOZELOS                                           ,3441,FEIRA-2                       
01,AVEIRO                        ,09,SANTA MARIA DA FEIRA          ,17,NOGUEIRA DA REGEDOURA                             ,NOGUEIRA DA REGEDOURA                             ,4170,FEIRA-4                       
